"id","country","date","type","value"
"ATF1","Austria","2022-3-1","Financial","10000000"
"ATH1","Austria","2022-2-1","Humanitarian",
"ATH2","Austria","2022-6-1","Humanitarian",
"ATH3","Austria","2022-5-1","Humanitarian","36900000"
"ATH4","Austria","2022-9-1","Humanitarian",
"ATH5","Austria","2022-9-1","Humanitarian","500000000"
"ATH6","Austria","2022-11-1","Humanitarian","4922621"
"ATH7","Austria","2022-11-1","Humanitarian","5000000"
"ATH8","Austria","2022-11-1","Humanitarian",
"ATM1","Austria","2022-3-1","Military",
"AUH1","Australia","2022-3-1","Humanitarian","35000000"
"AUH2","Australia","2022-3-1","Humanitarian","32600000"
"AUH3","Australia","2022-3-1","Humanitarian","12000000"
"AUM1","Australia","2022-3-1","Military","70000000"
"AUM10","Australia","2022-10-1","Military",
"AUM2","Australia","2022-3-1","Military","21000000"
"AUM3","Australia","2022-3-1","Military","25000000"
"AUM4","Australia","2022-4-1","Military","49000000"
"AUM5","Australia","2022-4-1","Military","26500000"
"AUM6","Australia","2022-4-1","Military","26700000"
"AUM7","Australia","2022-5-1","Military","60900000"
"AUM8","Australia","2022-7-1","Military","79500000"
"AUM9","Australia","2022-7-1","Military","8700000"
"BEF1","Belgium","2022-11-1","Financial","4960000"
"BEH1","Belgium","2022-3-1","Humanitarian","3400000"
"BEH2","Belgium","2022-3-1","Humanitarian","230000"
"BEH3","Belgium","2022-4-1","Humanitarian","83000000"
"BEH4","Belgium","2022-5-1","Humanitarian","29770000"
"BEH5","Belgium","2022-7-1","Humanitarian","800000"
"BEM1","Belgium","2022-2-1","Military","76000000"
"BEM2","Belgium","2022-8-1","Military","8000000"
"BEM3","Belgium","2022-9-1","Military","12000000"
"BGH1","Bulgaria","2022-2-1","Humanitarian",
"BGH2","Bulgaria","2022-4-1","Humanitarian","706000"
"BGH3","Bulgaria","2022-5-1","Humanitarian",
"BGM1","Bulgaria","2022-4-1","Military",
"BGM2","Bulgaria","2022-5-1","Military",
"CAF1","Canada","2022-2-1","Financial","500000000"
"CAF2","Canada","2022-4-1","Financial","1000000000"
"CAF3","Canada","2022-5-1","Financial","250000000"
"CAF4","Canada","2022-6-1","Financial","200000000"
"CAF5","Canada","2022-7-1","Financial","450000000"
"CAF6","Canada","2022-8-1","Financial","3850000"
"CAF7","Canada","2022-10-1","Financial","500000000"
"CAH1","Canada","2022-1-1","Humanitarian","50000000"
"CAH2","Canada","2022-3-1","Humanitarian","50000000"
"CAH3","Canada","2022-4-1","Humanitarian","100000000"
"CAH4","Canada","2022-5-1","Humanitarian","2000000"
"CAH5","Canada","2022-6-1","Humanitarian","75000000"
"CAH6","Canada","2022-6-1","Humanitarian","52000000"
"CAH7","Canada","2022-6-1","Humanitarian","9700000"
"CAH8","Canada","2022-9-1","Humanitarian","52000000"
"CAM1","Canada","2022-1-1","Military","340000000"
"CAM10","Canada","2022-5-1","Military","50000000"
"CAM11","Canada","2022-6-1","Military",
"CAM12","Canada","2022-10-1","Military","47000000"
"CAM13","Canada","2022-11-1","Military","500000000"
"CAM14","Canada","2022-11-1","Military","33000000"
"CAM2","Canada","2022-2-1","Military","7000000"
"CAM3","Canada","2022-2-1","Military",
"CAM4","Canada","2022-2-1","Military","25000000"
"CAM5","Canada","2022-3-1","Military",
"CAM6","Canada","2022-3-1","Military","1000000"
"CAM7","Canada","2022-3-1","Military","50000000"
"CAM8","Canada","2022-4-1","Military",
"CAM9","Canada","2022-4-1","Military","500000000"
"CHH1","Switzerland","2022-3-1","Humanitarian","60000000"
"CHH2","Switzerland","2022-8-1","Humanitarian","40000000"
"CHH3","Switzerland","2022-11-1","Humanitarian","100000000"
"CNH1","China","2022-3-1","Humanitarian","5000000"
"CNH2","China","2022-3-1","Humanitarian","10000000"
"CYH1","Cyprus","2022-3-1","Humanitarian","2000000"
"CYH2","Cyprus","2022-6-1","Humanitarian","500000"
"CZH1","Czech Republic","2022-2-1","Humanitarian","300000000"
"CZH2","Czech Republic","2022-3-1","Humanitarian","108000000"
"CZH3","Czech Republic","2022-3-1","Humanitarian","10000000"
"CZH4","Czech Republic","2022-3-1","Humanitarian","25000000"
"CZH5","Czech Republic","2022-4-1","Humanitarian","14000000"
"CZH6","Czech Republic","2022-5-1","Humanitarian","433000000"
"CZH7","Czech Republic","2022-6-1","Humanitarian",
"CZH8","Czech Republic","2022-6-1","Humanitarian","100000000"
"CZM1","Czech Republic","2022-2-1","Military","36600000"
"CZM10","Czech Republic","2022-3-1","Military","4500000"
"CZM11","Czech Republic","2022-3-1","Military",
"CZM12","Czech Republic","2022-3-1","Military","857000"
"CZM13","Czech Republic","2022-4-1","Military",
"CZM14","Czech Republic","2022-4-1","Military",
"CZM15","Czech Republic","2022-4-1","Military","133000000"
"CZM16","Czech Republic","2022-4-1","Military",
"CZM17","Czech Republic","2022-5-1","Military",
"CZM18","Czech Republic","2022-5-1","Military","30000000"
"CZM19","Czech Republic","2022-10-1","Military","1801621450"
"CZM2","Czech Republic","2022-2-1","Military","188106550"
"CZM20","Czech Republic","2022-10-1","Military","7500000"
"CZM21","Czech Republic","2022-10-1","Military","413193"
"CZM22","Czech Republic","2022-11-1","Military","45000000"
"CZM23","Czech Republic","2022-11-1","Military","41600000"
"CZM3","Czech Republic","2022-2-1","Military","400000000"
"CZM4","Czech Republic","2022-3-1","Military","17000000"
"CZM5","Czech Republic","2022-3-1","Military","31500000"
"CZM6","Czech Republic","2022-3-1","Military","24000000"
"CZM7","Czech Republic","2022-3-1","Military",
"CZM8","Czech Republic",,"Military","53260000"
"CZM9","Czech Republic","2022-3-1","Military","30000000"
"DEF1","Germany","2022-5-1","Financial","150000000"
"DEF2","Germany","2022-5-1","Financial","1000000000"
"DEH1","Germany","2022-5-1","Humanitarian","185000000"
"DEH2","Germany","2022-4-1","Humanitarian","370000000"
"DEH3","Germany","2022-4-1","Humanitarian","70000000"
"DEH4","Germany","2022-5-1","Humanitarian","125000000"
"DEH5","Germany","2022-9-1","Humanitarian","200000000"
"DEH6","Germany","2022-11-1","Humanitarian","1000000000"
"DEM1","Germany","2022-4-1","Military",
"DEM2","Germany","2022-10-1","Military",
"DKF1","Denmark","2022-3-1","Financial","20000000"
"DKF2","Denmark","2022-9-1","Financial","37500000"
"DKH1","Denmark","2022-3-1","Humanitarian","8000000"
"DKH2","Denmark","2022-3-1","Humanitarian","20000000"
"DKH3","Denmark","2022-3-1","Humanitarian","10000000"
"DKH4","Denmark","2022-3-1","Humanitarian","50000000"
"DKH5","Denmark","2022-3-1","Humanitarian","50000000"
"DKH6","Denmark","2022-5-1","Humanitarian","155000000"
