"indicator","russia","ukraine"
"Active soldiers","850000","200000"
"Air force",,
"Aircraft carriers","1","0"
"Attack helicopters","544","34"
"Corvettes","86","1"
"Destroyers","15","0"
"Fighters / interceptors","772","69"
"Frigates","11","1"
"Ground attack aircraft","739","29"
"Minesweepers","49","1"
"Mobile rocket projectors","3391","490"
"Naval forces",,
"Nuclear warheads*","6255","0"
"Nuclear weapons",,
"Paramilitary units","250000","50000"
"Patrol boats","59","13"
"Reserve forces","250000","250000"
"Self-propelled artillery","6574","1067"
"Submarines","70","0"
"Total aircraft","4173","318"
"Total helicopters","1543","112"
"Total military personnel","1350000","500000"
"Total military ships","605","38"
"Trainers","522","71"
"Transport aircraft","445","32"
