"date","value"
"2022-2-21","2613"
"2022-2-22","2687"
"2022-2-24","3596"
"2022-2-25","4777"
"2022-2-26","4794"
"2022-2-27","4891"
"2022-2-28","4906"
"2022-3-1","4987"
"2022-3-2","5018"
"2022-3-3","5116"
"2022-3-4","5334"
"2022-3-7","5371"
"2022-3-10","5538"
"2022-3-11","6155"
"2022-3-13","6189"
"2022-3-14","6190"
"2022-3-15","6602"
"2022-3-16","6832"
"2022-3-17","6847"
"2022-3-18","6850"
"2022-3-24","7510"
"2022-3-25","7604"
"2022-3-31","7654"
"2022-4-5","7664"
"2022-4-6","7749"
"2022-4-7","7852"
"2022-4-8","7855"
"2022-4-11","8127"
"2022-4-12","8359"
"2022-4-13","8813"
"2022-4-14","8815"
"2022-4-19","8831"
"2022-4-20","8900"
"2022-4-21","9074"
"2022-4-25","9083"
"2022-4-27","9287"
"2022-5-3","9397"
"2022-5-4","9399"
"2022-5-8","9584"
"2022-5-17","9614"
"2022-5-20","9628"
"2022-5-31","9651"
"2022-6-2","9694"
"2022-6-4","9777"
"2022-6-5","9860"
"2022-6-9","9865"
"2022-6-10","10043"
"2022-6-27","10114"
"2022-6-28","10284"
"2022-6-30","10300"
"2022-7-5","10309"
"2022-7-8","10468"
"2022-7-22","10475"
"2022-7-23","10531"
"2022-7-24","10588"
"2022-7-25","10595"
"2022-7-26","10637"
"2022-7-28","10657"
"2022-7-29","10730"
"2022-8-2","10843"
"2022-8-3","10844"
"2022-8-4","10858"
"2022-8-5","10862"
"2022-8-8","10863"
"2022-8-17","10865"
"2022-8-23","10942"
"2022-9-5","10945"
"2022-9-6","10948"
"2022-9-8","10949"
"2022-9-9","10952"
"2022-9-15","11027"
"2022-9-16","11028"
"2022-9-26","11120"
"2022-9-30","11495"
"2022-10-1","11523"
"2022-10-4","11524"
"2022-10-7","11561"
"2022-10-8","11597"
"2022-10-12","11634"
"2022-10-19","11637"
"2022-10-20","11641"
"2022-10-24","11649"
"2022-10-26","11669"
"2022-10-28","11711"
"2022-11-1","11715"
"2022-11-2","11719"
"2022-11-14","11840"
"2022-11-15","11847"
"2022-11-18","11851"
"2022-11-23","11852"
"2022-11-30","11874"
"2022-12-8","11878"
"2022-12-9","11945"
"2022-12-13","11978"
"2022-12-15","12044"
"2022-12-19","12077"
"2022-12-21","12478"
"2022-12-22","12634"
