"date","natural_gas","gold","wti_crude","brent_crude","soybeans","corn","copper","silver","low_sulphur_gas_oil","live_cattle","soybean_oil","aluminium","soybean_meal","zinc","uls_diesel","nickel","wheat","sugar","gasoline","coffee","lean_hogs","hrw_wheat","cotton"
"2022-1-3","3.815","1800.1","76.08","78.98","1344","589.25","4.4215","22.81","676","138.925","56.21","2803","423.9","3580","235.74","20873.5","758","18.74","225.65","223.3","81.125","791.5","113.23"
"2022-1-4","3.717","1814.6","76.99","80","1378.75","609.5","4.475","23.056","685.75","137.825","58.14","2833.75","427.6","3647.75","240.95","21250","770","18.75","227.63","231.75","80.15","804","116.39"
"2022-1-5","3.882","1825.1","77.85","80.8","1384.25","602.25","4.4135","23.17","702","137.25","59.32","2915.75","424.1","3623","244.61","20750","760.75","18.34","229.21","231.75","82.275","787","116.28"
"2022-1-6","3.812","1789.2","79.46","81.99","1377.25","603.75","4.3545","22.19","712.5","137.35","58.78","2913.78","420.4","3578","247.77","20494","746","18.19","230.43","231.7","82.95","768.5","114.72"
"2022-1-7","3.916","1797.4","78.9","81.75","1401.5","606.75","4.41","22.409","712.5","137.325","58.63","2907.5","433.5","3560.75","248.18","20856","758.5","18.05","229.89","238.45","79.65","775","115.12"
"2022-1-10","4.079","1798.8","78.23","80.87","1374.75","599.75","4.352","22.462","711","136.25","57.89","2922.74","427.6","3502","248.76","20919","762","17.83","227.54","234.9","78.375","778.25","115.22"
"2022-1-11","4.249","1818.5","81.22","83.72","1376.75","601","4.429","22.812","726","137.675","58.89","2961.25","427.3","3578.5","256.36","21966","770.25","18.11","235.74","237.05","77.85","791.75","116.02"
"2022-1-12","4.857","1827.3","82.64","84.67","1391.25","599","4.5765","23.207","726","136.575","59.28","2972.51","431","3571.5","259.42","22218","757.75","18.34","239.08","240.85","78.85","778","117.64"
"2022-1-13","4.27","1821.4","82.12","84.47","1365.25","587.5","4.546","23.162","737.5","137","58.18","2940.26","423.7","3582.5","260.85","22415","746.75","18.09","238.41","237","77.85","759.75","116.84"
"2022-1-14","4.262","1816.5","83.82","86.06","1356.75","596.25","4.4205","22.918","749.25","137.975","58.15","2976.25","445","3536.5","263.43","22558.5","741.5","18.31","241.9","239.65","80.9","745","119.7"
"2022-1-17","4.262","1816.5","83.82","86.48","1356.75","596.25","4.4205","22.918","762.25","137.975","58.15","3004.75","445","3519.5","263.43","22558","741.5","18.31","241.9","239.65","80.9","745","119.7"
"2022-1-18","4.283","1812.4","85.43","87.51","1361.25","599.5","4.3825","23.492","765.25","137.675","59.08","3034.5","390.1","3584","267.4","22193","769","18.66","243.18","239.6","81.6","772.75","121.08"
"2022-1-19","4.031","1843.2","86.96","88.44","1391.25","610.5","4.47","24.231","776","138.55","60.76","3065","398.3","3600","269.23","23309","796.5","19.07","245.7","244.45","82.3","800","123.95"
"2022-1-20","3.802","1842.6","86.9","88.38","1425.75","611","4.5825","24.716","773.25","138.325","62.88","3132","400.8","3674","267.18","23951","790.25","18.93","246.22","243.65","84.925","796.5","122.87"
"2022-1-21","3.999","1831.8","85.14","87.89","1414.25","616.25","4.524","24.32","769.25","137.925","63","3052.77","392.7","3672.5","269.12","24220","780","18.9","244.24","237.9","86.2","793.25","120.75"
"2022-1-24","4.027","1841.7","83.31","86.27","1403","621","4.4125","23.8","753.25","136.325","61.97","3045","393.9","3628.5","262.74","22597","800.5","18.81","239.8","232.95","86.325","818","120.38"
"2022-1-25","4.053","1852.5","85.6","88.2","1407.25","620","4.45","23.896","761.5","137.1","62.51","3106.5","392","3598.5","266.91","22554","818","18.78","245.95","237.9","87.45","834.5","120.92"
